source_category,nsi_id,display_name,tags_brand,brand_wikidata,location_include,location_exclude,match_names_count,match_input_name,match_slug,match_status,matched_image_svg,matched_image_png
supermarket,gianthypermarket-e1160b,Giant Hypermarket,Giant Hypermarket,Q4217013,id|my|sg|vn,,0,Giant Hypermarket,giant-hypermarket,no,,
convenience,globi-95f41b,Globi,Globi,Q11751761,pl,,0,Globi,globi,no,,
supermarket,globus-2d7d3f,Globus,Globus,Q457503,cz|de|ru,,0,Globus,globus,exact,globus.svg,
supermarket,goasia-0a839e,Go Asia,Go Asia,Q102381911,de,,0,Go Asia,go-asia,exact,,go-asia.png
convenience,golocal-232829,Go Local,Go Local,Q120634011,gb,,0,Go Local,go-local,no,,
convenience,gomart-07a9fd,GoMart,GoMart,Q5574575,us-ky.geojson|us-oh.geojson|us-va.geojson|us-wv.geojson,,0,GoMart,gomart,no,,
convenience,gomart-9d5235,GOmart,GOmart,,mx,,0,GOmart,gomart,no,,
convenience,gomex-3015fb,Gomex,Gomex,Q115570534,rs,,0,Gomex,gomex,no,,
convenience,good2go-f1e40b,Good 2 Go,Good 2 Go,Q109826132,us,,0,Good 2 Go,good-2-go,no,,
supermarket,gordonfoodservicestore-dde59d,Gordon Food Service Store,Gordon Food Service Store,Q134734340,us,,5,Gordon Food Service Store,gordon-food-service-store,no,,
supermarket,grandfrais-94a8a9,Grand Frais,Grand Frais,Q3114675,fx,,0,Grand Frais,grand-frais,exact,,grand-frais.png
supermarket,green-a384d0,Green,Green,Q136678235,by,,0,Green,green,no,,
supermarket,griya-9b33de,Griya,Griya,Q124353081,id,,0,Griya,griya,no,,
supermarket,groceryoutlet-dde59d,Grocery Outlet,Grocery Outlet,Q5609934,us,,0,Grocery Outlet,grocery-outlet,exact,grocery-outlet.svg,
convenience,groszek-95f41b,Groszek,Groszek,Q9280965,pl,,0,Groszek,groszek,no,,
supermarket,groszek-9e6a6c,Groszek,Groszek,Q9280965,pl,,0,Groszek,groszek,no,,
convenience,gs25-f248a7,GS25,GS25,Q624041,kr|vn,,3,GS25,gs25,no,,
convenience,gulfexpress-f1e40b,Gulf Express,Gulf Express,Q124073193,us,,0,Gulf Express,gulf-express,no,,
supermarket,gulliver-0cb133,Gulliver,Gulliver,Q110454395,it,,0,Gulliver,gulliver,no,,
convenience,gutkauf-60c7fe,Gutkauf,Gutkauf,Q112253146,de,,0,Gutkauf,gutkauf,no,,
supermarket,geant-a2a643,Géant,Géant,Q1380537,ae|dj|eg|ly|tn|uy|ye,,0,Géant,geant,no,,
convenience,geantexpress-a35511,Géant Express,Géant Express,Q137579657,ae|eg|ly,,0,Géant Express,geant-express,no,,
supermarket,hmart-90050a,H Mart,H Mart,Q5636306,ca|gb|us,,0,H Mart,h-mart,exact,h-mart.svg,
supermarket,superhmart-dde59d,Super H Mart,H Mart,Q5636306,us,,0,H Mart,h-mart,exact,h-mart.svg,
supermarket,heb-078f5a,H-E-B,H-E-B,Q830621,mx|us,,0,H-E-B,h-e-b,exact,,h-e-b.png
supermarket,hebplus-078f5a,H-E-B plus!,H-E-B plus!,Q830621,mx|us,,0,H-E-B plus!,h-e-b-plus,no,,
convenience,haffners-1aebc2,Haffner's,Haffner's,Q124150984,us-ma.geojson|us-me.geojson|us-nh.geojson,,0,Haffner's,haffners,no,,
supermarket,haggen-dde59d,Haggen,Haggen,Q5638683,us,,0,Haggen,haggen,exact,haggen.svg,
supermarket,hakmar-5b5772,Hakmar,Hakmar,Q110454434,tr,,0,Hakmar,hakmar,no,,
supermarket,hakmarexpress-5b5772,Hakmar Express,Hakmar Express,Q110454466,tr,,0,Hakmar Express,hakmar-express,no,,
supermarket,halpahalli-c9c76a,HalpaHalli,HalpaHalli,Q11861256,ee|fi|ru,,0,HalpaHalli,halpahalli,no,,
convenience,handlarn-f5adeb,Handlar'n,Handlar'n,Q10517161,se,,0,Handlar'n,handlarn,no,,
supermarket,hannaford-dde59d,Hannaford,Hannaford,Q5648760,us,,0,Hannaford,hannaford,no,,
supermarket,harps-dde59d,Harps,Harps,Q16994839,us,,0,Harps,harps,no,,
supermarket,harrisfarmmarkets-c254c9,Harris Farm Markets,Harris Market Farms,Q5664888,au,,0,Harris Market Farms,harris-market-farms,no,,
supermarket,harristeeter-dde59d,Harris Teeter,Harris Teeter,Q5665067,us,,0,Harris Teeter,harris-teeter,exact,,harris-teeter.png
convenience,hastymarket-eea72f,Hasty Market,Hasty Market,Q58022603,ca,,0,Hasty Market,hasty-market,no,,
convenience,hei-6378da,hei,hei,Q1788862,bg|ge|md|ro,,0,hei,hei,no,,
supermarket,hemkop-c57afb,Hemköp,Hemköp,Q10521746,se,,0,Hemköp,hemkop,exact,hemkop.svg,
supermarket,herkulesecenter-0a839e,HERKULES Ecenter,HERKULES Ecenter,Q701755,de,,0,HERKULES Ecenter,herkules-ecenter,no,,
supermarket,herosupermarket-9b33de,Hero Supermarket,Hero Supermarket,Q12485604,id,,0,Hero Supermarket,hero-supermarket,exact,hero-supermarket.svg,
supermarket,heronfoods-a8278b,Heron Foods,Heron Foods,Q5743472,gb,,0,Heron Foods,heron-foods,exact,heron-foods.svg,
supermarket,hiperber-0513f1,Hiperber,Hiperber,Q5898257,es,,0,Hiperber,hiperber,no,,
supermarket,hipercor-0513f1,Hipercor,Hipercor,Q191574,es,,0,Hipercor,hipercor,exact,hipercor.svg,
supermarket,hiperdino-0513f1,HiperDino,HiperDino,Q105955292,es,,0,HiperDino,hiperdino,exact,,hiperdino.png
convenience,hiperdinoexpress-dd9aae,HiperDino Express,HiperDino Express,Q105955317,es,,0,HiperDino Express,hiperdino-express,exact,,hiperdino-express.png
supermarket,hipermaxi-cbfbb4,Hipermaxi,Hipermaxi,Q81968262,bo,,0,Hipermaxi,hipermaxi,exact,,hipermaxi.png
supermarket,hit-0a839e,HIT,HIT,Q1548713,de,,1,HIT,hit,exact,,hit.png
supermarket,hitmax-56b425,HitMax,HitMax,Q114053568,bg,,0,HitMax,hitmax,no,,
supermarket,hmarket-3f7afe,Hmarket,Hmarket,Q119994958,be|fr,,0,Hmarket,hmarket,no,,
supermarket,hofer-83285c,Hofer,Hofer,Q15815751,at|si,,1,Hofer,hofer,exact,hofer.svg,
convenience,holiday-f1e40b,Holiday,Holiday,Q5880490,us,,0,Holiday,holiday,no,,
supermarket,hoogvliet-5811b5,Hoogvliet,Hoogvliet,Q2770647,nl,,0,Hoogvliet,hoogvliet,no,,
supermarket,hruska-8e6809,Hruška,Hruška,Q58196374,cz,,0,Hruška,hruska,no,,
convenience,hruska-a7773e,Hruška,Hruška,Q58196374,cz,,0,Hruška,hruska,no,,
convenience,hucksfoodandfuel-f1e40b,Huck's Food & Fuel,Huck's Food & Fuel,Q56276328,us,,0,Huck's Food & Fuel,hucks-food-fuel,no,,
convenience,hudson-16ec4d,Hudson,Hudson,Q111534515,ca|us,,0,Hudson,hudson,no,,
convenience,hursts-232829,Hursts,Hursts,Q80975681,gb,,0,Hursts,hursts,no,,
convenience,husky-eea72f,Husky,Husky,Q702049,ca,,0,Husky,husky,no,,
supermarket,hyvee-dde59d,Hy-Vee,Hy-Vee,Q1639719,us,,0,Hy-Vee,hy-vee,exact,hy-vee.svg,
supermarket,hyperu-c16b1c,Hyper U,Hyper U,Q2529029,fr,,0,Hyper U,hyper-u,exact,hyper-u.svg,
supermarket,hypercacher-94a8a9,Hypercacher,Hypercacher,Q18746214,fx,,0,Hypercacher,hypercacher,no,,
convenience,iberdoex-dd9aae,Iberdoex,Iberdoex,Q25689041,es,,0,Iberdoex,iberdoex,no,,
supermarket,icnorte-cbfbb4,IC Norte,IC Norte,Q81967653,bo,,0,IC Norte,ic-norte,no,,
supermarket,icakvantum-c57afb,ICA Kvantum,ICA Kvantum,Q1663776,se,,0,ICA Kvantum,ica-kvantum,exact,,ica-kvantum.png
supermarket,icanara-c57afb,ICA Nära,ICA Nära,Q1663776,se,,0,ICA Nära,ica-nara,exact,,ica-nara.png
supermarket,icasupermarket-c57afb,ICA Supermarket,ICA Supermarket,Q1663776,se,,0,ICA Supermarket,ica-supermarket,exact,,ica-supermarket.png
supermarket,idea-7f1f6d,IDEA,IDEA,Q23461622,me|rs,,0,IDEA,idea,exact,idea.svg,
convenience,idea-8f21d6,IDEA,IDEA,Q23461622,me|rs,,0,IDEA,idea,exact,idea.svg,
convenience,ideaorganic-3015fb,IDEA Organic,IDEA Organic,Q114670320,rs,,0,IDEA Organic,idea-organic,no,,
supermarket,ideasuper-7f1f6d,IDEA Super,IDEA Super,Q114669350,me|rs,,0,IDEA Super,idea-super,no,,
supermarket,idealfoodbasket-dde59d,Ideal Food Basket,Ideal Food Basket,Q111908729,us,,0,Ideal Food Basket,ideal-food-basket,no,,
convenience,iga-0b0ae9,IGA (Australia),IGA,Q5970945,au,,0,IGA,iga,exact,iga.svg,
supermarket,iga-166dbe,IGA,IGA,Q3146662,ca|us,,1,IGA,iga,exact,iga.svg,
supermarket,iga-c254c9,IGA (Australia),IGA,Q5970945,au,,0,IGA,iga,exact,iga.svg,
convenience,ikeaswedishfoodmarket-e66215,IKEA Swedish Food Market,IKEA,Q54078,au|bh|ca|cz|de|es|fi|fr|gb|hr|hu|ie|it|jo|kr|kw|ma|mx|my|no|nz|ph|pl|pt|qa|sa|sg|si|sk,,0,IKEA,ikea,exact,ikea.svg,
convenience,iki-64a6c9,IKI,IKI,Q1653981,lt,,0,IKI,iki,no,,
supermarket,iki-dfbc25,IKI,IKI,Q1653981,lt,,0,IKI,iki,no,,
supermarket,ilgigante-0cb133,Il Gigante,Il Gigante,Q3792743,it,,0,Il Gigante,il-gigante,no,,
supermarket,insmercato-0cb133,In's Mercato,In's Mercato,Q105615834,it,,1,In's Mercato,ins-mercato,exact,,ins-mercato.png
convenience,incoop-1aaf3e,InCoop,InCoop,Q131934414,it,,0,InCoop,incoop,no,,
convenience,indomaret-bb8a09,Indomaret,Indomaret,Q4262825,id,,1,Indomaret,indomaret,exact,,indomaret.png
supermarket,indomaretfresh-9b33de,Indomaret Fresh,Indomaret Fresh,Q138347581,id,,0,Indomaret Fresh,indomaret-fresh,no,,
supermarket,ingles-dde59d,Ingles,Ingles,Q6032595,us,,0,Ingles,ingles,no,,
convenience,insmarket-eea72f,INS Market,INS Market,Q133245219,ca,,1,INS Market,ins-market,no,,
supermarket,intermarche-986a24,Intermarché,Intermarché,Q3153200,001,,0,Intermarché,intermarche,exact,intermarche.svg,
convenience,intermarchecontact-f6dc0a,Intermarché Contact,Intermarché Contact,Q98278049,fx,,0,Intermarché Contact,intermarche-contact,exact,,intermarche-contact.png
supermarket,intermarchedrive-94a8a9,Intermarché Drive,Intermarché Drive,Q3153200,fx,,0,Intermarché Drive,intermarche-drive,exact,,intermarche-drive.png
convenience,intermarcheexpress-f3ab02,Intermarché Express,Intermarché Express,Q98278043,fx|pt,,0,Intermarché Express,intermarche-express,exact,,intermarche-express.png
supermarket,intermarchehyper-94a8a9,Intermarché Hyper,Intermarché Hyper,Q98278022,fx,,0,Intermarché Hyper,intermarche-hyper,exact,,intermarche-hyper.png
supermarket,intermarchesuper-bc9d37,Intermarché Super,Intermarché Super,Q98278038,be|fx|pl|pt,,0,Intermarché Super,intermarche-super,exact,,intermarche-super.png
supermarket,interspar-268650,Interspar,Interspar,Q15820339,at|hr|hu|si,,0,Interspar,interspar,exact,,interspar.png
supermarket,iper-0cb133,Iper,Iper,Q3801479,it,,0,Iper,iper,no,,
supermarket,iperal-0cb133,Iperal,Iperal,Q3801481,it,,0,Iperal,iperal,exact,,iperal.png
supermarket,ipercoop-0cb133,Ipercoop,Ipercoop,Q6064990,it,,0,Ipercoop,ipercoop,exact,ipercoop.svg,
