brand_name,match_status,matched_image,price_count,top_100_by_price
Feneberg,no,,32,
Fnac,exact,fnac.svg,132,
Food Basics,no,,1,
Food Lion,no,,12,
Foodland,no,,10,
FoodMaxx,exact,foodmaxx.svg,110,
Fortinos,no,,1,
Franprix,exact,franprix.svg,4626,yes
Fred Meyer,exact,fred-meyer.svg,40,
Fresh,approx,fresco.svg,85,
Fresh Thyme,no,,3,
FreshChoice,no,,1,
FreshCo,exact,freshco.svg,1,
Fressnapf,no,,1,
Froiz,no,,2,
Fry's Food and Drug,no,,2,
G20,exact,g20.png,1077,yes
Gadis,exact,gadis.svg,2,
Gamm Vert,no,,35,
Giant,no,,3,
Giant Eagle,exact,giant-eagle.svg,1,
Giant Food,exact,giant-food.svg,13,
Gibert Joseph,no,,5,
GiFi,no,,59,
Gigaboks,exact,gigaboks.svg,459,yes
Globus,exact,globus.svg,5,
Go Asia,no,,10,
Grand Frais,exact,grand-frais.png,30,
Grocery Outlet,exact,grocery-outlet.svg,407,yes
Géant Casino,no,,6,
H Mart,exact,h-mart.svg,9,
H-E-B,no,,16,
Halyk Bank,no,,1,
Harris Teeter,no,,1,
Healthy Planet,no,,3,
Hebe,no,,4,
HELLWEG,no,,2,
HEMA,exact,hema.svg,24,
Hemköp,exact,hemkop.svg,8,
HiperDino,exact,hiperdino.png,1,
HiperDino Express,no,,1,
Hipermaxi,no,,1,
HIT,no,,87,
Hofer,exact,hofer.svg,344,yes
Holland & Barrett,no,,3,
Home Bargains,no,,3,
Homeplus,no,,3,
Hudson's Bay,no,,1,
Hyper U,no,,218,yes
ICA Kvantum,no,,4,
ICA Nära,no,,1,
ICA Supermarket,no,,3,
Iceland,no,,44,
IDEA Super,no,,5,
IGA,exact,iga.svg,8,
IKEA,exact,ikea.svg,48,
IKI,approx,ikea.svg,7,
In's Mercato,no,,37,
Indomaret,no,,2,
Intermarché,exact,intermarche.svg,10967,yes
Intermarché Contact,no,,859,yes
Intermarché Drive,no,,1,
Intermarché Express,no,,224,yes
Intermarché Hyper,no,,3334,yes
Intermarché Super,exact,intermarche-super.png,1832,yes
Interspar,no,,74,
Intersport,no,,7,
Iperal,no,,3,
itsu,no,,1,
Jour de Fête,no,,16,
JouéClub,no,,8,
Jumbo,exact,jumbo.svg,67,
JYSK,no,,2,
K-Citymarket,no,,32,
K-Market,exact,k-market.svg,43,
K-Supermarket,no,,75,
Karstadt,no,,1,
Kaufland,exact,kaufland.png,790,yes
Key Food,exact,key-food.svg,7,
KiK,exact,kik.svg,1,
Kindly!,no,,1,
King Jouet,no,,55,
Kinsarvik Naturkost,no,,6,
kitea,no,,1,
Kitea,no,,1,
Kiwi,exact,kiwi.png,3211,yes
Kmart,approx,emart.png,1,
Konsum Dresden,no,,2,
Konzum,exact,konzum.svg,43,
Krambúð,no,,4,
Kroger,no,,1,
Kruidvat,exact,kruidvat.svg,10,
Krónan,no,,1,
Kult,no,,1,
L'Eau Vive,no,,532,yes
L'Occitane,no,,1,
La Foir'Fouille,no,,11,
La Grande Récré,no,,37,
La Poste,no,,10,
La Vie Claire,exact,la-vie-claire.png,882,yes
Lafayette,no,,83,
Le Petit Casino,exact,le-petit-casino.png,256,yes
Leader Price,no,,15,
Lenovo,no,,1,
Leroy Merlin,exact,leroy-merlin.svg,52,
Les Comptoirs De La Bio,no,,21,
Lidl,exact,lidl.svg,3632,yes
Lindt,no,,1,
Linella,no,,1,
Londis,no,,2,
London Drugs,no,,89,
Lotus's,approx,lotus-s.svg,12,
Lowe's,no,,3,
LPG BioMarkt,no,,2,
Lucky,no,,252,yes
Lulu Hypermarket,no,,1,
Lupa,no,,23,
M&S Simply Food,no,,8,
MAC Cosmetics,no,,3,
Makro,no,,3,
Mangeons Frais,no,,9,
Manor,approx,sano.png,5,
Marché Adonis,no,,8,
Mariano's Fresh Market,no,,1,
Marie Blachère,no,,1,
Marjane,no,,15,
Markant,exact,markant.svg,19,
Market Basket,exact,market-basket.svg,10,
Marks & Spencer,exact,marks-spencer.svg,8,
Markt-Bäckerei,no,,1,
Marktkauf,exact,marktkauf.svg,7,
Marshalls,no,,5,
Masymas,exact,masymas.svg,1,
Match,no,,275,yes
Matkroken,no,,36,
Maxi ICA Stormarknad,no,,4,
Maxi Zoo,no,,2,
Maxima,exact,maxima.svg,5,
Maxima X,no,,167,yes
Maxima XX,no,,22,
Maxima XXX,no,,75,
MD,approx,m-s.svg,2,
MediaMarkt,no,,1,
Mega Image,no,,9,
Meijer,exact,meijer.svg,2,
Meny,no,,132,
Mercadona,exact,mercadona.svg,122,
Mercator,no,,2,
Metro,exact,metro.svg,9,
METRO,exact,metro.svg,4,
Migrolino,no,,1,
Migros,exact,migros.svg,368,yes
Migros Daily,no,,1,
Minipreço,exact,minipreco.svg,5,
Ministop,no,,1,
Mix Markt,exact,mix-markt.svg,9,
Momie,no,,2,
Mondadori,no,,2,
Mondial Relay,no,,1,
Monop',no,,285,yes
monop',no,,13,
Monoprix,exact,monoprix.svg,4509,yes
More,approx,mere.svg,2,
Morrisons,no,,130,
Moustache;Lapierre;Scott,no,,1,
MPREIS,exact,mpreis.png,28,
Mr.Bricolage,no,,23,
My Auchan,no,,37,
MyAuchan,no,,4,
Mäc-Geiz,no,,1,
Müller,no,,18,
Nahkauf,exact,nahkauf.svg,93,
Narvesen,no,,1,
National Grid,no,,2,
Naturalia,exact,naturalia.png,1356,yes
Naturalia Vegan,no,,1,
NaturaSì,approx,naturalia.png,2,
Nature & Découvertes,no,,2,
Nature et Découvertes,no,,3,
Naturenville,no,,135,
naturéO,exact,natureo.svg,2,
Nespresso,no,,33,
Netto,exact,netto.svg,1432,yes
Netto City,no,,607,yes
Netto Marken-Discount,no,,949,yes
New Balance,no,,2,
No Frills,no,,9,
Norfa XL,no,,11,
NORMA,exact,norma.svg,36,
Norma,exact,norma.svg,29,
Normal,approx,norma.svg,19,
NOUS anti-gaspi,no,,8,
Nous anti-gaspi,no,,31,
NOZ,no,,55,
NTT docomo,no,,1,
NTUC Fairprice,no,,1,
OBI,exact,obi.svg,1,
Obs,approx,gb.png,265,yes
Okay,no,,3,
OMV,approx,dm.svg,1,
Otto's,no,,1,
Pak'nSave,no,,1,
Pam,no,,124,
Paris Store,no,,58,
Pathé Gaumont,no,,1,
Pehlivanoğlu,no,,5,
Penny,exact,penny.svg,117,
PENNY,exact,penny.svg,14,
Penny Soester Süden,no,,1,
PENNY.,exact,penny.svg,2,
Petco,approx,pepco.svg,20,
Pete's Market,no,,1,
Pharmaprix,no,,1,
Picard,exact,picard.png,349,yes
Pick n Pay,exact,pick-n-pay.svg,1,
Pick n Pay Clothing,no,,1,
Pick n Pay Express,no,,3,
Picnic,no,,2,
Pingo Doce,no,,13,
Plaza Vea,no,,2,
Plodine,exact,plodine.svg,99,
PLUS,no,,16,
Poundland,no,,3,
Power,no,,1,
Premier,no,,1,
Price Rite,no,,1,
Primaprix,no,,8,
Prisma,exact,prisma.png,5,
Prix,no,,1,
Profi,exact,profi.png,4,
Provigo,no,,1,
Proxi,approx,profi.png,261,yes
Proximarché,no,,54,
Proxy Delhaize,no,,37,
Publix,exact,publix.svg,28,
QFC,approx,kf.png,8,
Radatz,no,,2,
Ralphs,exact,ralphs.svg,1,
Real Canadian Superstore,no,,99,
Reformhaus Bacher,no,,1,
Relay,approx,rema.svg,142,
Reliance Digital,no,,1,
Reliance Fresh,no,,2,
Rema 1000,exact,rema-1000.png,2261,yes
REWE,exact,rewe.svg,511,yes
Rewe,exact,rewe.svg,391,yes
REWE City,no,,23,
Rewe City,no,,1,
REWE Getränkemarkt,no,,1,
REWE To Go,no,,16,
Rimi,approx,bim.svg,260,yes
rmhildebrandt,no,,46,
Rossmann,exact,rossmann.svg,267,yes
Rusta,no,,17,
